,bpk
0,2020-05-18 09:30:00-04:00
1,2020-06-15 15:30:00-04:00
2,2020-06-29 15:30:00-04:00
3,2020-07-28 12:30:00-04:00
4,2020-09-15 10:30:00-04:00
5,2020-09-21 15:30:00-04:00
6,2020-11-03 15:30:00-05:00
7,2020-11-25 15:30:00-05:00
8,2020-12-14 15:30:00-05:00
9,2021-01-19 15:30:00-05:00
10,2021-02-02 15:30:00-05:00
11,2021-02-26 15:30:00-05:00
12,2021-03-09 11:30:00-05:00
13,2021-03-30 15:30:00-04:00
14,2021-04-23 09:30:00-04:00
15,2021-05-13 14:30:00-04:00
16,2021-05-19 15:30:00-04:00
17,2021-06-03 15:30:00-04:00
18,2021-07-21 14:30:00-04:00
19,2021-07-30 15:30:00-04:00
20,2021-08-11 10:30:00-04:00
21,2021-08-23 09:30:00-04:00
22,2021-08-27 15:30:00-04:00
23,2021-09-22 12:30:00-04:00
24,2021-10-06 15:30:00-04:00
25,2021-10-14 12:30:00-04:00
26,2021-11-02 14:30:00-04:00
27,2021-11-12 14:30:00-05:00
28,2021-11-29 11:30:00-05:00
29,2021-12-06 14:30:00-05:00
30,2021-12-21 14:30:00-05:00
31,2022-01-11 09:30:00-05:00
32,2022-01-26 15:30:00-05:00
33,2022-02-08 13:30:00-05:00
34,2022-02-16 12:30:00-05:00
35,2022-02-25 15:30:00-05:00
36,2022-03-16 09:30:00-04:00
