,ma
0,2.8064999389648437
1,5.6232998657226565
2,8.435599975585937
3,11.240249938964844
4,14.043249816894532
5,16.838899841308592
6,19.628599853515624
7,22.401099853515625
8,25.10875
9,27.792250061035155
10,30.487550048828126
11,33.20135009765625
12,35.913921203613285
13,38.62412109375
14,41.37292114257812
15,44.11282104492187
16,46.858821105957034
17,49.60812103271484
18,52.36912109375
19,55.14492095947266
20,57.9239208984375
21,60.732720947265626
22,63.55022094726562
23,66.3560708618164
24,69.15924896240234
25,69.13504913330078
26,69.09914916992187
27,69.05474914550781
28,69.05269927978516
29,69.05459930419921
30,69.06034942626952
31,69.0806494140625
32,69.1281494140625
33,69.2402993774414
34,69.38649932861328
35,69.53659942626953
36,69.65594940185547
37,69.77667816162109
38,69.89067840576172
39,69.96837829589843
40,70.0602783203125
41,70.15047821044922
42,70.25947814941406
43,70.33997802734375
44,70.38777801513672
45,70.42607818603516
46,70.43777801513671
47,70.43517791748047
48,70.43742797851563
49,70.51974975585938
50,70.63414978027343
51,70.73204986572266
52,70.84434967041015
53,70.91874969482421
54,71.00234985351562
55,71.09424957275391
56,71.2174496459961
57,71.32189971923827
58,71.41609954833984
59,71.49499938964844
60,71.56409942626954
61,71.65594940185547
62,71.76764953613281
63,71.93344940185547
64,72.08024749755859
65,72.20594757080079
66,72.2847476196289
67,72.34464782714844
68,72.42874786376953
69,72.51624786376954
70,72.61360961914062
71,72.70530975341796
72,72.81140991210937
73,72.92050994873047
74,72.94531005859375
75,72.97591003417969
76,73.03401000976562
77,73.13710998535156
78,73.24810974121094
79,73.35760955810547
80,73.46300964355468
81,73.53650970458985
82,73.62205963134765
83,73.70075958251954
84,73.82155975341797
85,73.93635955810547
86,74.04215942382812
87,74.12955932617187
88,74.16445922851562
89,74.21836120605468
90,74.28686126708985
91,74.42346130371094
92,74.54846130371094
93,74.66686126708984
94,74.79956146240234
95,74.92739959716796
96,75.05419952392577
97,75.17219940185547
98,75.3177993774414
99,75.47479949951172
100,75.63129943847656
101,75.7793994140625
102,75.87579956054688
103,75.98629974365234
104,76.09179992675782
105,76.21619995117187
106,76.34329986572266
107,76.47159973144531
108,76.62689971923828
109,76.7522998046875
110,76.89349975585938
111,77.02629974365234
112,77.18489990234374
113,77.35130004882812
114,77.51290008544922
115,77.68377990722657
116,77.81807983398437
117,77.95137969970703
118,78.0652798461914
119,78.17487884521485
120,78.29187896728516
121,78.37787902832031
122,78.42047912597656
123,78.42667907714844
124,78.41937896728516
125,78.41957885742187
126,78.4047787475586
127,78.39167877197265
128,78.35381469726562
129,78.3200146484375
130,78.27211456298828
131,78.22191436767578
132,78.18151458740235
133,78.09471466064453
134,77.99850860595703
135,77.87800872802734
136,77.77550872802735
137,77.65890869140625
138,77.54110870361328
139,77.43130859375
140,77.37252868652344
141,77.32802886962891
142,77.29962890625
143,77.30372894287109
144,77.31222991943359
145,77.30522979736328
146,77.34522979736329
147,77.4488296508789
148,77.55982971191406
149,77.67862976074218
150,77.77252990722656
151,77.88092987060547
152,77.98682983398437
153,78.08559387207032
154,78.20649383544922
155,78.32649383544921
156,78.43799407958984
157,78.52869384765626
158,78.65329376220703
159,78.78669982910156
160,78.93029968261719
161,79.07809997558594
162,79.19380096435548
163,79.2991000366211
164,79.40730010986329
165,79.45810028076171
166,79.50730010986328
167,79.5425
168,79.56
169,79.57760009765624
170,79.60200012207031
171,79.62130004882812
172,79.62210021972656
173,79.62790008544921
174,79.64140014648437
175,79.70589996337891
176,79.74529998779298
177,79.77190002441407
178,79.82619995117187
179,79.84539886474609
180,79.84459899902343
181,79.83199890136719
182,79.83049896240234
183,79.82329895019531
184,79.78735382080077
185,79.75215393066406
186,79.70765380859375
187,79.69095275878907
188,79.69615356445313
189,79.7164535522461
190,79.7382534790039
191,79.76755340576172
192,79.81425354003906
193,79.86825347900391
194,79.92315338134766
195,79.95565338134766
196,79.97135345458985
197,79.97315338134766
198,79.98285339355469
199,79.98635314941406
200,79.94655334472657
201,79.94005340576172
202,79.9496533203125
203,79.9530532836914
204,79.95535430908203
205,79.97045440673828
206,80.01045440673828
207,80.04685455322266
208,80.09175476074219
209,80.15689971923828
210,80.22319976806641
211,80.2797998046875
212,80.31339996337891
213,80.34639892578124
214,80.36199890136719
215,80.37309875488282
216,80.38759887695312
217,80.40759887695313
218,80.41999877929688
219,80.42509887695313
220,80.45979888916015
221,80.506298828125
222,80.57539886474609
223,80.64189910888672
224,80.70220916748048
225,80.7558090209961
226,80.78790893554688
227,80.81820892333984
228,80.84040893554688
229,80.86090911865234
230,80.87500885009766
231,80.93250885009766
232,80.9990087890625
233,81.07550872802734
234,81.1615087890625
235,81.24800872802734
236,81.3429086303711
237,81.45340850830078
238,81.55020965576172
239,81.63620971679687
240,81.72390991210938
241,81.79630981445312
242,81.8741098022461
243,81.95890991210938
244,82.05540985107422
