,spk
0,2020-05-13 13:30:00-04:00
1,2020-07-16 12:30:00-04:00
2,2020-09-03 10:30:00-04:00
3,2020-10-15 12:30:00-04:00
4,2020-11-18 15:30:00-05:00
5,2020-12-10 12:30:00-05:00
6,2020-12-31 12:30:00-05:00
7,2021-01-28 12:30:00-05:00
8,2021-02-10 09:30:00-05:00
9,2021-03-03 12:30:00-05:00
10,2021-03-18 12:30:00-04:00
11,2021-04-29 09:30:00-04:00
12,2021-05-27 12:30:00-04:00
13,2021-07-16 14:30:00-04:00
14,2021-07-27 12:30:00-04:00
15,2021-08-06 12:30:00-04:00
16,2021-08-18 11:30:00-04:00
17,2021-09-10 10:30:00-04:00
18,2021-09-27 14:30:00-04:00
19,2021-10-12 12:30:00-04:00
20,2021-11-09 10:30:00-05:00
21,2021-11-24 15:30:00-05:00
22,2021-12-14 09:30:00-05:00
23,2022-01-05 12:30:00-05:00
24,2022-01-14 11:30:00-05:00
25,2022-02-03 15:30:00-05:00
26,2022-03-04 09:30:00-05:00
27,2022-04-01 09:30:00-04:00
