,ts
0,2020-04-20 09:30:00-04:00
1,2020-04-20 10:30:00-04:00
2,2020-04-20 11:30:00-04:00
3,2020-04-20 12:30:00-04:00
4,2020-04-20 13:30:00-04:00
5,2020-04-20 14:30:00-04:00
6,2020-04-20 15:30:00-04:00
7,2020-04-21 09:30:00-04:00
8,2020-04-21 10:30:00-04:00
9,2020-04-21 11:30:00-04:00
10,2020-04-21 12:30:00-04:00
11,2020-04-21 13:30:00-04:00
12,2020-04-21 14:30:00-04:00
13,2020-04-21 15:30:00-04:00
14,2020-04-22 09:30:00-04:00
15,2020-04-22 10:30:00-04:00
16,2020-04-22 11:30:00-04:00
17,2020-04-22 12:30:00-04:00
18,2020-04-22 13:30:00-04:00
19,2020-04-22 14:30:00-04:00
20,2020-04-22 15:30:00-04:00
21,2020-04-23 09:30:00-04:00
22,2020-04-23 10:30:00-04:00
23,2020-04-23 11:30:00-04:00
24,2020-04-23 12:30:00-04:00
25,2020-04-23 13:30:00-04:00
26,2020-04-23 14:30:00-04:00
27,2020-04-23 15:30:00-04:00
28,2020-04-24 09:30:00-04:00
29,2020-04-24 10:30:00-04:00
30,2020-04-24 11:30:00-04:00
31,2020-04-24 12:30:00-04:00
32,2020-04-24 13:30:00-04:00
33,2020-04-24 14:30:00-04:00
34,2020-04-24 15:30:00-04:00
35,2020-04-27 09:30:00-04:00
36,2020-04-27 10:30:00-04:00
37,2020-04-27 11:30:00-04:00
38,2020-04-27 12:30:00-04:00
39,2020-04-27 13:30:00-04:00
40,2020-04-27 14:30:00-04:00
41,2020-04-27 15:30:00-04:00
42,2020-04-28 09:30:00-04:00
43,2020-04-28 10:30:00-04:00
44,2020-04-28 11:30:00-04:00
45,2020-04-28 12:30:00-04:00
46,2020-04-28 13:30:00-04:00
47,2020-04-28 14:30:00-04:00
48,2020-04-28 15:30:00-04:00
49,2020-04-29 09:30:00-04:00
50,2020-04-29 10:30:00-04:00
51,2020-04-29 11:30:00-04:00
52,2020-04-29 12:30:00-04:00
53,2020-04-29 13:30:00-04:00
54,2020-04-29 14:30:00-04:00
55,2020-04-29 15:30:00-04:00
56,2020-04-30 09:30:00-04:00
57,2020-04-30 10:30:00-04:00
58,2020-04-30 11:30:00-04:00
59,2020-04-30 12:30:00-04:00
60,2020-04-30 13:30:00-04:00
61,2020-04-30 14:30:00-04:00
62,2020-04-30 15:30:00-04:00
63,2020-05-01 09:30:00-04:00
64,2020-05-01 10:30:00-04:00
65,2020-05-01 11:30:00-04:00
66,2020-05-01 12:30:00-04:00
