,bpk
0,2021-05-06 10:30:00-04:00
1,2021-05-13 09:30:00-04:00
2,2021-05-19 15:30:00-04:00
3,2021-05-20 10:30:00-04:00
4,2021-06-03 15:30:00-04:00
5,2021-07-21 09:30:00-04:00
6,2021-07-30 11:30:00-04:00
7,2021-08-11 11:30:00-04:00
8,2021-08-20 15:30:00-04:00
9,2021-08-27 11:30:00-04:00
10,2021-09-22 09:30:00-04:00
11,2021-10-06 10:30:00-04:00
12,2021-10-14 10:30:00-04:00
13,2021-11-02 09:30:00-04:00
14,2021-11-12 10:30:00-05:00
15,2021-11-29 15:30:00-05:00
16,2021-12-03 15:30:00-05:00
17,2021-12-21 12:30:00-05:00
18,2021-12-31 15:30:00-05:00
19,2022-01-11 10:30:00-05:00
20,2022-01-26 09:30:00-05:00
21,2022-02-08 09:30:00-05:00
22,2022-02-15 13:30:00-05:00
23,2022-02-25 10:30:00-05:00
24,2022-03-15 15:30:00-04:00
25,2022-04-01 15:30:00-04:00
26,2022-04-13 09:30:00-04:00
