,spk
0,2021-04-28 09:30:00-04:00
1,2021-05-18 14:30:00-04:00
2,2021-05-26 14:30:00-04:00
3,2021-07-16 14:30:00-04:00
4,2021-07-27 10:30:00-04:00
5,2021-08-06 09:30:00-04:00
6,2021-08-18 10:30:00-04:00
7,2021-08-25 14:30:00-04:00
8,2021-09-09 14:30:00-04:00
9,2021-09-27 09:30:00-04:00
10,2021-10-11 14:30:00-04:00
11,2021-10-28 15:30:00-04:00
12,2021-11-08 12:30:00-05:00
13,2021-11-24 14:30:00-05:00
14,2021-12-03 10:30:00-05:00
15,2021-12-14 09:30:00-05:00
16,2022-01-05 13:30:00-05:00
17,2022-01-13 15:30:00-05:00
18,2022-02-03 15:30:00-05:00
19,2022-02-10 15:30:00-05:00
20,2022-02-17 14:30:00-05:00
21,2022-03-03 15:30:00-05:00
22,2022-03-31 14:30:00-04:00
