,ma
0,3.0117777506510417
1,5.99977789984809
2,8.971778021918404
3,11.945555962456597
4,14.906222534179687
5,17.854666815863716
6,20.814666748046875
7,23.77133348253038
8,26.73376227484809
9,29.700428941514758
10,32.661762152777776
11,35.62653978135851
12,38.59231770833333
13,41.564539930555554
14,44.53542650010851
15,47.516537475585935
16,50.49487067328559
17,53.47487080891927
18,56.43445298936632
19,59.38111979166667
20,62.32245313856337
21,65.2884531656901
22,68.27045321994358
23,71.26111992730034
24,74.25740424262153
25,77.26007080078125
26,80.26229315863715
27,83.26207105848525
28,86.2611823187934
29,89.25740458170573
30,92.25073784722223
31,95.24384901258681
32,98.2393313937717
33,101.24066467285157
34,104.23888685438368
35,107.247998046875
36,110.24655354817709
37,113.24099799262153
38,116.2427734375
39,119.23899570041233
40,122.23566250271267
41,125.23055148654514
42,128.23099602593317
43,131.21544053819446
44,134.1947740342882
45,134.15650736490886
46,134.15495164659288
47,134.17795138888889
48,134.18984002007377
49,134.2705067952474
50,134.31450703938802
51,134.34517381456163
52,134.35939602322048
53,134.3818562825521
54,134.4056342230903
55,134.42185668945314
56,134.41907891167534
57,134.42130093044705
58,134.4095675998264
59,134.39756978352864
60,134.35823669433594
61,134.31634792751737
62,134.26345893012152
63,134.28321024576823
64,134.31543240017362
65,134.32787679036457
66,134.31021016438802
67,134.2812544080946
68,134.2456987169054
69,134.20030314127604
70,134.1196343315972
71,133.97163425021702
72,133.809078640408
73,133.6419674343533
74,133.4790785047743
75,133.3226342095269
76,133.17396748860676
77,133.077151828342
78,132.96292961968317
79,132.85804070366754
80,132.7358205159505
81,132.617042711046
82,132.48926493326823
83,132.34793395996093
84,132.208155992296
85,132.06737806532118
86,131.9433336046007
87,131.81466674804688
88,131.6977776421441
89,131.5893330891927
90,131.49915534125435
91,131.42315538194444
92,131.34215562608506
93,131.2733378092448
94,131.13756001790364
95,131.04200439453126
96,130.95356004503037
97,130.884226820204
98,130.7780042860243
99,130.6451151529948
100,130.52767062717015
101,130.42122633192275
102,130.30411512586807
103,130.17351515028213
104,130.04795973036025
105,129.87967512342664
106,129.72545284695096
107,129.5922305636936
108,129.4100082397461
109,129.23711920844184
110,129.0882303873698
111,128.94234144422742
112,128.75863054063586
113,128.5530751546224
114,128.34396413167318
115,128.16518859863282
116,128.04629957411024
117,127.94152170817057
118,127.84418826633029
119,127.80657721625434
120,127.773021613227
121,127.71968824598524
122,127.61568823920356
123,127.5190216064453
124,127.41835717095269
125,127.32679951985678
126,127.27168850368923
127,127.22257741292317
128,127.18346625434027
129,127.15501980251736
130,127.13113098144531
131,127.0987553914388
132,127.06897769504123
133,127.0173110961914
134,126.95553334554036
135,126.87175564236111
136,126.75908898247613
137,126.63597768147787
138,126.51512671576606
139,126.41557108561197
140,126.34023776584202
141,126.2573465983073
142,126.16956871880426
143,126.10179104275174
144,126.05245785183376
145,125.99168006049263
146,125.93145785861545
147,125.83723585340712
148,125.76556922064887
149,125.69256913926867
150,125.68438703748915
151,125.67527601453993
152,125.65727606879341
153,125.6332760281033
154,125.63727603488498
155,125.64994269476996
156,125.6756093343099
157,125.73560926649306
158,125.81731143527561
159,125.91375596788194
160,126.00875600179036
161,126.11764492458768
162,126.20198720296224
163,126.26932050916884
164,126.26982048882378
165,126.26848704020182
166,126.27915378146702
167,126.2833736843533
168,126.32981821695964
169,126.37381608751085
170,126.4180426703559
171,126.428709242079
172,126.45093146430122
173,126.47270931667752
174,126.482933722602
175,126.5024893866645
176,126.49068705240886
177,126.47179819742838
178,126.4796871609158
179,126.4927981906467
180,126.51124250623914
181,126.53479800754123
182,126.57479807535807
183,126.60680033365885
184,126.6252448187934
185,126.6252448187934
186,126.62369147406685
187,126.62891370985243
188,126.63735826280382
189,126.6620381673177
190,126.69914923773871
191,126.72426028781467
192,126.78559349907769
193,126.84137115478515
194,126.8825934516059
195,126.91661563449436
196,126.9390601264106
197,126.95472683376737
198,126.9685046725803
199,126.9447246975369
200,126.90694681803386
201,126.85972459581163
202,126.81194678412544
203,126.76602223714193
204,126.70180002848308
205,126.6371332804362
206,126.5673555162218
207,126.52545776367188
208,126.50123562282987
209,126.47412448459201
210,126.4541246202257
211,126.43545786539714
212,126.41834903293186
213,126.35279337565105
214,126.28301561143664
215,126.21667785644532
216,126.16287790934244
217,126.09310014512803
218,126.00887790256077
219,125.92543334960938
220,125.82521091037326
221,125.75609978569878
222,125.68609975179037
223,125.615988667806
224,125.57954423692492
225,125.5476554022895
226,125.52332204182943
227,125.49132198757596
228,125.45909966362848
229,125.43821089002822
230,125.41776648627388
231,125.40687747531467
232,125.37476637098524
233,125.33854404025608
234,125.29408637152778
235,125.24053090413412
236,125.21497531467014
237,125.19764200846355
238,125.23764190673828
239,125.26964196099175
240,125.28853081597222
241,125.31164177788628
242,125.34292839898004
243,125.38759494357639
244,125.42533501519097
245,125.4844462076823
246,125.53333502875434
247,125.57733510335287
248,125.62044626871744
249,125.67444627549914
250,125.72977973090278
251,125.78211313883463
252,125.8550018310547
253,125.91255730523004
254,125.96177944607204
255,125.99533487955729
256,126.02266828748915
257,126.050001695421
258,126.08644612630208
259,126.14789055718316
260,126.20066833496094
261,126.24702385796441
262,126.30391269259982
263,126.377023824056
264,126.45380164252387
265,126.5326905992296
266,126.64869062635634
267,126.77957950168185
268,126.9121351453993
269,127.01435750325521
270,127.12213541666667
271,127.22291310628255
272,127.3238021850586
273,127.43002438015408
274,127.51469099256727
275,127.60751325819227
276,127.69418012830945
277,127.79529130723742
278,127.89795803493924
279,127.99840240478515
280,128.12418009440105
281,128.23306901719835
282,128.33484683566624
283,128.38040245903863
284,128.4472913953993
285,128.52662472195095
286,128.60751359727647
287,128.71284925672742
288,128.81551581488716
289,128.9371114095052
290,129.02955593532985
291,129.13600056966146
292,129.24944508870442
293,129.35900082058376
294,129.45247633192275
295,129.54114278157553
296,129.62547607421874
297,129.69369845920139
298,129.77280951605903
299,129.86625400119357
300,129.96514282226562
301,130.06203172471788
302,130.1795871310764
303,130.30892045762803
304,130.41814270019532
305,130.53458726671008
306,130.64458736843534
307,130.75769856770833
308,130.8753428141276
309,130.99400939941407
310,131.1175048828125
311,131.20872701009114
312,131.29072706434462
313,131.38206041124133
314,131.47361585828992
315,131.56372477213543
316,131.64294704861112
317,131.71694708930121
318,131.79828050401477
319,131.88983595106336
320,131.97342902289498
321,132.05720452202692
322,132.15809326171876
323,132.2589820014106
324,132.3500932481554
325,132.41742451985678
326,132.48609110514323
327,132.5549801296658
328,132.62142469618055
329,132.6940911187066
330,132.77186889648436
331,132.84075792100694
332,132.8794687906901
333,132.90835774739583
334,132.92213541666666
335,132.95435757107205
336,133.02146640353732
337,133.087355211046
338,133.15335489908855
339,133.2363237169054
340,133.31854621039497
341,133.41287943522136
342,133.49421284993488
343,133.59376864963107
344,133.70799085828992
345,133.82632446289062
346,133.9521023220486
347,134.0583245171441
348,134.1541022406684
349,134.24876878526476
350,134.35032416449653
351,134.46110195583768
352,134.56463080512154
353,134.65631985134547
354,134.75165337456596
355,134.84838019476996
356,134.937158203125
357,135.0198248969184
358,135.07738037109374
359,135.13182474772137
360,135.17960442437067
361,135.2441599527995
362,135.31638217502172
363,135.38482666015625
364,135.4968268500434
365,135.60618930392795
366,135.72708265516493
367,135.8419715033637
368,135.96219380696616
369,136.08797132703992
370,136.22308451334635
371,136.43175116644966
372,136.63619554307726
373,136.82552897135417
374,137.00086229112412
375,137.18197326660157
376,137.37352871365016
377,137.56552870008682
378,137.81352878146703
379,138.0519731309679
380,138.29419521755642
381,138.49530843098958
382,138.71019727918838
383,138.92086418999565
384,139.13153076171875
385,139.31241963704426
386,139.47030877007379
387,139.6447530110677
388,139.82453070746527
389,139.99986402723525
390,140.1566416422526
391,140.30841946072047
392,140.48864169650608
393,140.68775295681422
394,140.88997531467015
395,141.0826419406467
396,141.26397535536023
397,141.44816182454426
398,141.6354949951172
399,141.84149509006076
400,142.01882832845052
401,142.1891615125868
402,142.35982801649305
403,142.53982781304254
404,142.72360568576389
405,142.9064948187934
406,143.13005032009548
407,143.35716111924913
408,143.5822723388672
409,143.76604987250434
410,143.93382771809897
411,144.08182542588975
412,144.22204759385852
413,144.42538113064236
414,144.64071451822917
415,144.84271443684895
416,144.9773434109158
417,145.12178785536025
418,145.29000990125868
419,145.46534356011284
420,145.64223259819877
421,145.7991214328342
422,145.94867723253037
423,146.0317884657118
424,146.1231218126085
425,146.21112196180556
426,146.3073442247179
427,146.41556633843317
428,146.5100107828776
429,146.5810533311632
430,146.69327528211807
431,146.81705288357205
432,146.92149726019966
433,146.9837195502387
434,146.98394198947483
435,146.9852752685547
436,146.99927503797744
437,146.96505296495226
438,146.9008307562934
439,146.83483072916667
440,146.76616414388022
441,146.7559105767144
442,146.75597296820746
443,146.77097303602432
444,146.78363952636718
445,146.82474399142797
446,146.86729973687065
447,146.914744398329
448,146.9454111735026
449,146.97313334147137
450,146.9984666612413
451,146.96513332790798
452,146.9220225016276
453,146.87913343641492
454,146.8346889919705
455,146.8589111328125
456,146.90591125488282
457,146.94191148546008
458,146.91257798936633
459,146.8730224609375
460,146.83468933105468
461,146.78517150878906
462,146.7556159125434
463,146.72650485568576
464,146.69761589898005
465,146.66739366319445
466,146.65534261067708
467,146.65078701443142
468,146.65945366753473
469,146.69989827473958
470,146.7307871500651
471,146.7592315673828
472,146.75367601182725
473,146.76567586263022
474,146.80174458821614
475,146.83041144476996
476,146.8590783013238
